text,intent,maturity_score,entities,category,metadata
discussion on digital transformation, which we deﬁne as a change in how
a ﬁrm employs digital technologies, to develop a new digital business model
that helps to create and appropriate more value for the ﬁrm (Kane, Palmer,
Philips, Kiron, & Buckley, 2015; Liu, Chen, & Chou, 2011; Schallmo,
https://doi.org/10.1016/j.jbusres.2019.09.022
Received 14 July 2018; Received in revised form 7 September 2019; Accepted 10 September 2019
☆This paper is based on discussions at the Thought leadership Conference on Digital Business Models and Analytics at the University of Groningen in April 2018.",Organizational Change,1.0,"[('Kane', 'PERSON'), ('Kiron', 'ORG'), ('& Buckley', 'GPE'), ('2015', 'DATE'), ('Liu', 'PERSON'), ('Chen', 'PERSON'), ('2011', 'DATE'), ('Schallmo', 'GPE'), ('14 July 2018', 'DATE'), ('September 2019', 'DATE'), ('September 2019', 'DATE'), ('Digital Business Models and Analytics', 'ORG'), ('the University of Groningen', 'ORG'), ('April 2018', 'DATE')]",Business Models,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital transformation: Opportunities to create new business
models.",Organizational Change,0.16,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"In our subsequent discussion
we mostly — but not exclusively — focus on the digital transformation
stage, as this is the most pervasive and complex phase, and the main
focus of our paper.",Organizational Change,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Hence, this review also assesses how digital transformation has been studied across ﬁelds (including related
constructs) to identify their similarities and diﬀerences.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital transformation aﬀects the whole company and its ways of
doing business (Amit & Zott, 2001) and goes beyond digitalization —
the changing of simple organizational processes and tasks.",Organizational Change,0.16,"[('Digital', 'ORG'), ('Amit & Zott', 'ORG'), ('2001', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
• What is the impact of digital transformation on performance?,Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"This capability becomes in-
creasingly important when a ﬁrm shifts to more advanced phases of
digital transformation; that is, from digitization to digitalization, and
from digitalization to digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Strategy, not
technology, drives digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We included the keywords “digitalize”, “digital transformation”, and “digitize” as well as
“IT” or “IS” in combination with “transformation” to cover the broad meaning of digital transformation and account for varieties in the focus across
diﬀerent disciplines.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
How big old companies navigate digital transformation.,Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We identify and delineate growth strategies for digital ﬁrms as well as the assets and
capabilities required in order to successfully transform digitally.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"First, more research is required to understand how ﬁrms go
through the phases of digital transformation.",Organizational Change,0.16,"[('First', 'ORDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Overall, we need to know more on how
digital resources facilitate digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The diﬀerent phases of digital changes toward digital transforma-
tion have important strategic imperatives for ﬁrms.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
• What organizational structures are most eﬀective for digital transformation?,Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We
start
with
a
discussion
on
the
external
drivers
of
digital
transformation, which presents the background of our discussion.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"What is the
relative impact of each of them in shaping the success of digital
transformation?",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"In pursuit of
digital transformation, the ﬁrm’s redeﬁnition of how it creates and
delivers value to customers often requires it to access, acquire or de-
velop new digital assets and capabilities.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
• How can we measure digital transformation phases and digital readiness?,Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
Digital transformation is particularly relevant for incumbent ﬁrms.,Organizational Change,0.16,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Journal of Business Research xxx (xxxx) xxx–xxx
3
Therefore, digital transformation is inherently linked to strategic
changes in the business model as a result of the implementation of di-
gital technologies (Sebastian et al., 2017).",Organizational Change,0.16,"[('Journal of Business Research', 'ORG'), ('Sebastian et al.', 'PERSON'), ('2017', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
• To what degree should ﬁrms transform digitally?,others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The ﬁrst decision for our literature search is to select the
relevant ﬁelds of interest to conceptualize digital transformation.",Organizational Change,0.76,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Im-
portantly, not only ﬁrms in the digital transformation phase, but also
ﬁrms in the digitalization phase can embrace these market-develop-
ment strategies.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We believe that such a multidisciplinary
discussion is required, given that digital transformation is multi-
disciplinary by nature, as it involves changes in strategy, organization,
information technology, supply chains and marketing.",Organizational Change,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
Papers should use digital transformation-related concepts as major constructs.,Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"And, what is the impact
of the diﬀerent phases of digital transformation on performance?",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We started with a discussion on why
ﬁrms need to transform digitally and conclude that digital transfor-
mation occurs in response to changes in digital technologies, increasing
digital competition and resulting digital customer behavior.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Based on prior literature, we
assume that incumbent ﬁrms go through the same sequence of digiti-
zation, digitalization, and then to digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Finally,
we provide a research agenda to stimulate and guide future research on digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"• What ﬁrm and market variables moderate the relationship between digital
transformation and performance?",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"From a human resource management perspective, digital
transformation implies the attraction of employees with digital and
analytical skills that may replace existing workforce.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"• What is the relative impact of identiﬁed assets and capabilities on digital transformation
and performance?",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"How chief digital oﬃcers promote the digital transformation
of their companies.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The digital transformation of
traditional businesses.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"The relevance and use of KPIs may
diﬀer across the phases of digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Future research can also try to measure
and investigate how digital readiness of ﬁrms may help the transition
through the phases of digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Scholars have used a variety of concepts as substitutes or
complimentary elements when theorizing about ﬁrms’ digital transformation such as e-business usage to describe digital transformation (e.g., Zhu,
Dong, Xu, & Kraemer, 2006).",Organizational Change,0.16,"[('Zhu', 'PERSON'), ('Dong', 'PERSON'), ('& Kraemer', 'PERSON'), ('2006', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"In order to provide managerial guidance for digital
transformation, we must increase our understanding of how ﬁrms can
gain a sustainable competitive advantage by building on speciﬁc re-
sources, which strategies they should adopt to win, and how the ﬁrm’s
internal organization structure must change to support these strategies.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Given that the same keyword can have a (partly) diﬀerent meaning in other disciplines, we argue that this thematic analysis helps us to better
conceptualize digital transformation.",Organizational Change,0.76,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Although digital transformation seems inevitable in many
industries, still it should not be considered an end in itself, given the
deep changes needed and high risks involved.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Second, to discuss the
strategic imperatives that result from digital transformation regarding
(1) required digital resources, (2) required organizational structure, (3)
growth strategies, and (4) required metrics.",Digital Transformation,0.76,"[('Second', 'ORDINAL'), ('1', 'CARDINAL'), ('2', 'CARDINAL'), ('3', 'CARDINAL'), ('4', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We hope future research will focus on identifying the optimal
forms of organizational structures that allow ﬁrms to succeed in ex-
ecuting their digital transformation strategies.",Organizational Change,0.54,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
Flow Model for Discussion on Digital Transformation.,Organizational Change,0.16,"[('Flow Model for Discussion', 'PERSON'), ('Digital Transformation', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We have the following
three objectives: First, to identify the external factors that have
strengthened the need for digital transformation.",Organizational Change,0.16,"[('three', 'CARDINAL'), ('First', 'ORDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Past research
argues that digital transformation has implications for the organiza-
tional structure (Sklyar, Kowalkowski, Tronvoll, & Sörhammar, in
press), favoring a ﬂexible structure composed of separate business
units, agile organizational forms, and digital functional areas.",Organizational Change,0.16,"[('Kowalkowski', 'PERSON'), ('Tronvoll', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Given the possible
incompatibility of realizing both objectives, some researchers suggest
that digitally transforming incumbents should develop digital in-
itiatives in new separate ventures that would function similarly to a
digital start-up in order to justify a primary focus on growth
(Christensen et al., 2016).",Et Al,0.14,"[('Christensen', 'PERSON'), ('2016', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Digital
transformation introduces a new business model by implementing a
new business logic to create and capture value (e.g., Pagani & Pardo,
2017; Zott & Amit, 2008).",others,1.0,"[('Digital', 'ORG'), ('Pagani & Pardo', 'ORG'), ('2017', 'DATE'), ('Zott & Amit', 'ORG'), ('2008', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"As discussed above, digital transformation has several
important implications for the organization structure.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We posit that digital transformation requires
speciﬁc organizational structures and bears consequences for the metrics used to calibrate performance.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Next, by
analyzing the literature, we identify three stages for digital transfor-
mation: digitization, digitalization and digital transformation.",Organizational Change,0.16,"[('three', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We conducted a scoping review approach (Paré, Trudel, Jaana, &
Kitsiou, 2015) to understand how the multiple disciplines have con-
ceptualized and deﬁned digital transformation (See Appendix A).",Organizational Change,0.16,"[('Paré, Trudel', 'ORG'), ('Jaana, &\nKitsiou,', 'ORG'), ('2015', 'DATE')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"2 The focus of our discussion is on identifying relevant digital resources that
ﬁrms need to transform their business digitally.",others,1.0,"[('2', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Major Topic
Relevant Disciplines
Research Questions
Phases of Digital Transformation
Information systems, strategic management,
innovation
• How should move ﬁrms through multiple digital transformation phases?",Organizational Change,0.16,"[('Digital Transformation\nInformation', 'ORG')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Papers should include some theoretical notions for digital transformation (or related constructs); either by providing a theoretical notion based on
earlier work, or by developing a notion of what is exactly meant with digital transformation.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Table 1 shows the
variety of growth strategies across digital transformation phases, and
indicates that platform strategies are more common for the more per-
vasive phases of digital change.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Finally, little is known about to which degree ﬁrms should transform
digitally.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Metrics and Goals
Strategic management, marketing, operations
management
• Which metrics are essential for the diﬀerent phases of digital transformation?",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"1) to describe the drivers, phases or levels, and imperatives of
digital transformation (cf.",Organizational Change,0.16,"[('1', 'CARDINAL')]",Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Rapid adaption in digital
transformation: A participatory process for enaging IS and business leaders.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"We acknowledge that including other ﬁelds could be of interest to study digital
transformation, but that we need to strike a balance between covering everything and being relevant.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Hence, ignoring contributions from speciﬁc ﬁelds would bias our understanding of digital
transformation.",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"And, more
broadly, what organizational structures are most eﬀective for ﬁrms that
transform digitally?",others,1.0,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"A cross-discipline exchange of knowledge helps to
better grasp the strategic imperatives of digital transformation, as it
involves multiple functional areas, including marketing, information
systems, innovations, strategic and operations management.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation_ A multidisciplinary reflection and research agenda; author: Peter C. Verhoef; creationDate: D:20191101204821Z; modDate: D:20191101204821Z; subject: Journal of Business Research,Corrected proof,doi:10.1016/j.jbusres.2019.09.022; keywords: Digital business; Business models; Business strategy; "
"Organizational structure
Apart from the digital resources needed to achieve digital trans-
formation, a key issue to consider is the organizational changes needed
to adapt to digital change (Eggers & Park, 2018), especially regarding
